"program","sex","result"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program1","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program2","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program3","male","accept"
"program4","male","accept"
"program4","male","accept"
"program4","male","accept"
"program4","male","accept"
"program4","male","accept"
"program4","male","accept"
"program4","male","accept"
"program4","male","accept"
"program4","male","accept"
"program4","male","accept"
"program4","male","accept"
"program4","male","accept"
"program4","male","accept"
"program4","male","accept"
"program4","male","accept"
"program4","male","accept"
"program4","male","accept"
"program4","male","accept"
"program4","male","accept"
"program4","male","accept"
"program4","male","accept"
"program4","male","accept"
"program1","male","reject"
"program1","male","reject"
"program1","male","reject"
