MSOA,Median_HP,Borough,Inner,Area,Political,Pop_Density,Aged_15to64,LoneParent_HH,BAME,Rented,NoWork_Families,Low_BirthWeight,Male_LE
E02000793,332000,Richmond upon Thames,Outer,West,Conservative,6138,65.27,9.54,22.89,27.7,2.8,7.4,81.8
E02000794,390000,Richmond upon Thames,Outer,West,Conservative,4600,67.68,5.41,14.99,23.8,1.7,4.5,81.8
E02000795,826000,Richmond upon Thames,Outer,West,Conservative,555,58.54,7.4,11.48,22.7,2.3,3.5,84.8
E02000796,315000,Richmond upon Thames,Outer,West,Conservative,5421,65.45,12.28,30.44,32.6,5.4,10,78.5
E02000797,391500,Richmond upon Thames,Outer,West,Conservative,7836,73.54,4.58,10.09,35.8,1.4,5.9,79.1
E02000798,366000,Richmond upon Thames,Outer,West,Conservative,4385,66.48,9.84,16,26.8,2.5,5.5,79.2
E02000799,442500,Richmond upon Thames,Outer,West,Conservative,5088,71.04,6.91,10.01,27,1.6,6.6,85.1
E02000800,356625,Richmond upon Thames,Outer,West,Conservative,2868,65.43,14.08,16.96,37.2,5,9.2,75.6
E02000801,459000,Richmond upon Thames,Outer,West,Conservative,6741,67.71,6.74,8.55,25.6,1.3,5,81.1
E02000802,427500,Richmond upon Thames,Outer,West,Conservative,4742,65.7,8.42,10.27,27.8,1.7,4.4,81.5
E02000803,315000,Richmond upon Thames,Outer,West,Conservative,4791,64.67,11.87,16.29,34.9,4.1,5.9,80.5
E02000804,435000,Richmond upon Thames,Outer,West,Conservative,1908,66.94,5.72,9.32,35.59999999999999,1.3,5.1,82.4
E02000805,382250,Richmond upon Thames,Outer,West,Conservative,3797,66.67,7.45,11.42,35.3,3,6.8,79.3
E02000806,370000,Richmond upon Thames,Outer,West,Conservative,1461,64.75,9.1,11.31,29.6,2.6,6.2,81.5
E02000807,338500,Southwark,Inner,Central,Labour,12377,83.23,7.96,32.17,54.5,3.1,7.6,85.1
E02000808,535000,Southwark,Inner,Central,Labour,8828,83.33,8.38,35.89,70.8,3.4,7.5,78.3
E02000809,490500,Southwark,Inner,Central,Labour,15887,87.24,5.49,29.39,63.90000000000001,2.4,8.4,81.5
E02000810,355000,Southwark,Inner,Central,Labour,14438,75.95,14.62,38.65,70.80000000000001,7.2,8.8,78.6
E02000812,312500,Southwark,Inner,Central,Labour,14887,78.76,12.93,48,75.4,5.7,10.9,73.5
E02000813,305000,Southwark,Inner,Central,Labour,9851,73.63,16.02,41.51,76.2,7.9,7.3,78.5
E02000814,309250,Southwark,Inner,Central,Labour,8951,83.12,9.52,32.86,60.90000000000001,3.5,7.4,79.2
E02000815,415000,Southwark,Inner,Central,Labour,15251,82.51,10.1,50.33,72.5,4.8,11.4,84.3
E02000816,215000,Southwark,Inner,Central,Labour,12226,74.2,16.14,37.37,71.5,7.3,10.2,76.9
E02000817,228250,Southwark,Inner,Central,Labour,9802,68.04,18.8,41.24,84.7,9.4,7.2,76.7
E02000818,261500,Southwark,Inner,Central,Labour,12817,74.82,14.11,46.55,79.5,6.1,8.3,75.8
E02000819,248975,Southwark,Inner,Central,Labour,16126,74.65,15.58,49.98,80.7,8.2,8.1,75.8
E02000820,315000,Southwark,Inner,Central,Labour,19738,77.01,14.69,44.55,74.8,6.8,8.3,77.9
E02000821,219000,Southwark,Inner,Central,Labour,11669,70.25,20.15,63.83,84.80000000000001,9.3,8.9,84.5
E02000822,238250,Southwark,Inner,Central,Labour,16559,71.53,19.49,59.57,87.5,9.2,8.8,76.4
E02000823,310000,Southwark,Inner,Central,Labour,12236,73.25,16.07,51.09,72.5,6.9,9.7,77.1
E02000824,207500,Southwark,Inner,Central,Labour,10062,69.17,22.94,70.11,83.4,11.5,10.5,82.2
E02000825,197000,Southwark,Inner,Central,Labour,18159,70.35,24.06,73.98,81,11.3,7.5,81.9
E02000826,204000,Southwark,Inner,Central,Labour,16568,73.15,16.73,57.13,73.6,6.7,7.1,74.1
E02000827,290000,Southwark,Inner,Central,Labour,15334,72.7,18.01,62.92,83.1,6.9,8.4,73.9
E02000828,209950,Southwark,Inner,Central,Labour,13495,71.85,20.38,67.72,75.4,9.3,8.7,74.9
E02000829,271000,Southwark,Inner,Central,Labour,13697,73.51,15.78,58.6,70,6.9,7.1,72.2
E02000830,315000,Southwark,Inner,Central,Labour,10767,76.26,10.07,39.05,56.5,3.8,6.4,77.5
E02000831,350000,Southwark,Inner,Central,Labour,11913,73.67,12.63,43.46,56.59999999999999,5.3,8.2,76.9
E02000832,289835,Southwark,Inner,Central,Labour,11930,69.16,17.71,56,67.4,7.9,8.5,76.2
E02000833,247500,Southwark,Inner,Central,Labour,9438,72.43,20.32,52.48,64.1,8,7.4,76.5
E02000834,425000,Southwark,Inner,Central,Labour,7640,76.59,8.41,29.8,54.2,2.7,6.7,80.1
E02000835,318000,Southwark,Inner,Central,Labour,4978,69.88,15.46,38.63,47.2,6.8,9.5,80.3
E02000836,480000,Southwark,Inner,Central,Labour,10976,71.65,8.89,25.89,41.3,2.4,6.3,81.5
E02000837,717500,Southwark,Inner,Central,Labour,3785,65.27,7.39,18.73,30.7,2.3,5.8,82.6
E02000838,315000,Southwark,Inner,Central,Labour,8705,70.91,12.25,30.21,46.7,4.3,7.3,80.1
E02000839,268000,Southwark,Inner,Central,Labour,2949,66.63,14.4,36.12,43.4,5.8,10.3,82.3
E02006802,342500,Southwark,Inner,Central,Labour,11145,81.75,12.59,43.09,72.5,4.7,10.4,78.3
E02000840,200500,Sutton,Outer,South,Other,6141,66.97,19.49,25.2,56.1,8.2,7.1,75.7
E02000841,202000,Sutton,Outer,South,Other,7718,66.63,19.04,27.26,54.40000000000001,8.5,5.9,75.1
E02000842,250000,Sutton,Outer,South,Other,4730,66.53,10.32,22.53,15.7,2.7,7.6,78.8
E02000843,178997.5,Sutton,Outer,South,Other,5948,69.41,11.49,20.32,33.3,4.4,5.8,80.5
E02000844,236500,Sutton,Outer,South,Other,7823,67.24,14.47,19.22,33.2,4.3,10.5,76.2
E02000845,295000,Sutton,Outer,South,Other,6185,67.89,10.31,19.91,25.4,3.2,7.1,83.5
E02000846,250000,Sutton,Outer,South,Other,5232,64.06,10.38,21.93,19.5,3.1,7.9,79.7
E02000847,274950,Sutton,Outer,South,Other,5783,63.15,7.25,16.92,13.8,2,6.6,81
E02000848,274250,Sutton,Outer,South,Other,6839,65.21,9.84,17.75,11.2,2,7.1,80.8
E02000849,250000,Sutton,Outer,South,Other,6419,67.41,12.46,19.35,29.7,4,6.2,80.3
E02000850,247650,Sutton,Outer,South,Other,2097,66.44,11.12,23.51,19.1,2.5,8.8,79.1
E02000851,181000,Sutton,Outer,South,Other,7591,68.22,11.08,24.91,48.8,5.1,7.2,76.6
E02000852,240000,Sutton,Outer,South,Other,7938,69.6,9.53,17.11,24.4,2.6,5.8,80.2
E02000853,250000,Sutton,Outer,South,Other,6183,67.56,12.01,20.9,27.3,3.6,6.9,78.4
E02000854,287500,Sutton,Outer,South,Other,4420,66.43,9,12.66,24.6,2.3,5.1,80.5
E02000855,365000,Sutton,Outer,South,Other,4233,64.22,7.64,16.98,17.6,2,6,83.5
E02000856,197995,Sutton,Outer,South,Other,6781,67.63,8.58,22.65,27.9,1.9,6.5,80.7
E02000857,205000,Sutton,Outer,South,Other,7947,68.38,6.92,26.19,43.2,2.5,5,76.9
E02000858,210000,Sutton,Outer,South,Other,5136,65.55,20.13,27.37,62.4,9.9,8.5,74.2
E02000859,234000,Sutton,Outer,South,Other,4835,62.75,9.9,18.47,27,3.4,7.3,80.8
E02000860,174000,Sutton,Outer,South,Other,9036,68.68,8.84,26.78,54,3.8,5.7,77.7
E02000861,423750,Sutton,Outer,South,Other,2928,64.88,6.38,17.25,11.2,1.2,6.4,84.5
E02000863,410000,Sutton,Outer,South,Other,956,63.88,9.62,23.7,15.9,2.8,6.7,81
E02006836,370000,Sutton,Outer,South,Other,2510,61.25,5.63,23.17,14.5,1.1,7.4,81
E02000864,265000,Tower Hamlets,Inner,East,Labour,6714,70.05,15.86,44.81,78.6,9.6,7.5,74.1
E02000865,283000,Tower Hamlets,Inner,East,Labour,15864,71.86,12.09,53.06,79.5,8.8,9.9,75.4
E02000866,367500,Tower Hamlets,Inner,East,Labour,8513,74.16,10.71,34.52,63.3,5.6,8.3,78.4
E02000867,264000,Tower Hamlets,Inner,East,Labour,12596,78.54,11.21,42.11,68.6,6.9,7.9,75.4
E02000868,327500,Tower Hamlets,Inner,East,Labour,19073,78.25,8.59,45.57,71.8,6.8,13.1,75.1
E02000869,385000,Tower Hamlets,Inner,East,Labour,17757,75.17,10.5,43.7,70.7,6.1,6.7,75.6
E02000870,268000,Tower Hamlets,Inner,East,Labour,16471,73.1,12.62,45.98,70.3,8.4,9.1,75.3
E02000871,245000,Tower Hamlets,Inner,East,Labour,13824,68.74,14.68,71.98,79.5,12.1,10.2,76.6
E02000872,356500,Tower Hamlets,Inner,East,Labour,17118,77.8,10.49,51.06,76.1,7.6,10.6,75.6
E02000873,305750,Tower Hamlets,Inner,East,Labour,17514,75.53,10.78,57.48,73.1,7.9,9.8,76.9
E02000874,286000,Tower Hamlets,Inner,East,Labour,20674,73.21,11.67,66.29,79,10.3,10.8,76.1
E02000875,249995,Tower Hamlets,Inner,East,Labour,15340,70.62,14.31,65.24,80.9,11.5,8.7,79.6
E02000876,249997.5,Tower Hamlets,Inner,East,Labour,13463,79.58,7.2,62.33,74,7.1,7.7,75.1
E02000877,250000,Tower Hamlets,Inner,East,Labour,12758,70.65,14.05,67.97,79.4,11,11,72.7
E02000878,400000,Tower Hamlets,Inner,East,Labour,16864,82.38,5.85,54.73,71.9,4.8,9,74.1
E02000879,355000,Tower Hamlets,Inner,East,Labour,17583,70.88,10.19,59.33,72.4,7.3,10.8,76.9
E02000880,250000,Tower Hamlets,Inner,East,Labour,15847,73.71,9.04,63.54,73.1,7.3,9.4,70.5
E02000881,245000,Tower Hamlets,Inner,East,Labour,9977,67.41,17.32,65.23,72.69999999999999,14.6,10.4,75
E02000882,280775,Tower Hamlets,Inner,East,Labour,15116,68.55,13.04,70.42,74.8,10.9,9.2,72.9
E02000883,207500,Tower Hamlets,Inner,East,Labour,17233,66.29,18.44,62.28,81.7,13,9.5,77.3
E02000884,330039,Tower Hamlets,Inner,East,Labour,17162,81.81,5.8,58.03,78,5.6,8.6,71.3
E02000885,242500,Tower Hamlets,Inner,East,Labour,20414,69.3,14.55,69.7,77.9,10.3,8.4,72.8
E02000886,315000,Tower Hamlets,Inner,East,Labour,15195,76.62,8.07,50.53,65,5.6,9.7,78.5
E02000887,238500,Tower Hamlets,Inner,East,Labour,15266,68.36,17.25,62.19,77.1,13,9.4,75
E02000888,345000,Tower Hamlets,Inner,East,Labour,15903,75.04,8.02,60.04,66.7,7.1,9.8,79.9
E02000889,305000,Tower Hamlets,Inner,East,Labour,11917,76.52,7.02,49.5,63.3,4.6,10.6,74.9
E02000890,476250,Tower Hamlets,Inner,East,Labour,10439,82.68,3.62,23.99,51.1,1.6,8,82.3
E02000891,360000,Tower Hamlets,Inner,East,Labour,8825,80.41,9.07,54.76,71.6,5.9,8.6,77.8
E02000893,265000,Tower Hamlets,Inner,East,Labour,9698,73.87,11.85,42.4,66.7,7.1,8.4,76.6
E02000894,330000,Tower Hamlets,Inner,East,Labour,19531,81.65,7.32,42.66,64.3,4.1,8.8,85.3
E02006853,326805,Tower Hamlets,Inner,East,Labour,15504,78.82,9.85,54.36,73.80000000000001,6.7,5.8,79.1
E02006854,410000,Tower Hamlets,Inner,East,Labour,7104,83.92,4.75,48.14,69.4,3.7,5.3,79.1
E02000895,250000,Waltham Forest,Outer,East,Labour,3615,59.95,13.33,21.86,31.5,5.1,8.8,79.3
E02000896,273000,Waltham Forest,Outer,East,Labour,3110,64.76,9.69,13.9,25.8,3.2,6.5,79.8
E02000897,235000,Waltham Forest,Outer,East,Labour,4326,63.36,16.47,23.9,39.2,6.8,10.8,75.8
E02000898,275000,Waltham Forest,Outer,East,Labour,5023,64.82,14.78,25.74,30.9,6.1,10.1,78.5
E02000899,250000,Waltham Forest,Outer,East,Labour,6615,66.17,13.4,27.8,24.3,4.4,9.1,78.2
E02000900,240750,Waltham Forest,Outer,East,Labour,5252,66.61,17.85,41.94,32.7,7,12,77.4
E02000901,250000,Waltham Forest,Outer,East,Labour,5502,67.05,11.03,22.89,24.8,3.5,6.6,78.7
E02000902,233500,Waltham Forest,Outer,East,Labour,6803,66.83,16.22,44.66,36.4,7,7.3,77.6
E02000903,230000,Waltham Forest,Outer,East,Labour,4670,67.54,20.6,52.63,54.5,10.8,8.4,74.9
E02000904,249999.5,Waltham Forest,Outer,East,Labour,5762,68.86,13.86,47.62,36.7,6.3,9,79.1
E02000905,250000,Waltham Forest,Outer,East,Labour,9424,69.44,13.07,49.93,44.4,6.2,8.4,75.6
E02000906,220000,Waltham Forest,Outer,East,Labour,15216,68.9,14.77,49.1,50.6,7.6,8.1,76.5
E02000907,250000,Waltham Forest,Outer,East,Labour,11460,66.43,16.53,55.15,67.4,9.1,8.3,73.5
E02000908,218497.5,Waltham Forest,Outer,East,Labour,4683,72.46,10.67,49.54,52.90000000000001,5.7,8.3,76.6
E02000909,312500,Waltham Forest,Outer,East,Labour,6365,69.86,10.47,44.17,46,4.3,9.3,79.7
E02000910,267175,Waltham Forest,Outer,East,Labour,13836,72.85,9.89,53.92,51.5,5.3,8.7,76.7
E02000911,217250,Waltham Forest,Outer,East,Labour,12624,72.67,11.98,54.59,56.5,6.5,11.2,76.1
E02000912,246500,Waltham Forest,Outer,East,Labour,3730,67.38,14.47,59.79,50.5,8.1,8.3,76.7
E02000913,272250,Waltham Forest,Outer,East,Labour,8400,70.42,11.46,58.84,42.3,5.3,9.8,77.8
E02000914,199000,Waltham Forest,Outer,East,Labour,15581,70.22,15.26,67.93,66.2,8.8,9.7,72.5
E02000915,237500,Waltham Forest,Outer,East,Labour,5934,75.52,10.89,46.04,54.2,4.2,9.1,76.5
E02000916,192000,Waltham Forest,Outer,East,Labour,4289,68.55,15.6,61.11,50.2,8.5,8.1,75.6
E02000917,212500,Waltham Forest,Outer,East,Labour,13736,70.29,12.07,53.09,54.09999999999999,4.5,8.1,75.4
E02000918,295000,Waltham Forest,Outer,East,Labour,11059,74.31,12.18,51.86,58.59999999999999,5.8,9.2,76.1
E02000919,235000,Waltham Forest,Outer,East,Labour,16714,75.14,9.77,55.8,52.8,4.7,8.7,77.6
E02000920,232500,Waltham Forest,Outer,East,Labour,5545,73.27,16.48,63.69,64.1,8.2,10.3,74.6
E02000921,226750,Waltham Forest,Outer,East,Labour,13301,71.26,17.68,59.94,71.5,9.5,7.6,75.7
E02000922,226000,Waltham Forest,Outer,East,Labour,16402,73.69,14.28,56.04,54.5,6.4,8.9,75.7
E02000923,495000,Wandsworth,Inner,South,Conservative,7270,74.84,7.02,20.64,46.1,2.3,5.5,77.6
E02000924,383250,Wandsworth,Inner,South,Conservative,5738,78.62,13.82,43.66,68,6.2,8.3,74.1
E02000925,410000,Wandsworth,Inner,South,Conservative,17997,71.8,17.41,39.63,68.5,7.7,6.1,73.4
E02000926,436650,Wandsworth,Inner,South,Conservative,14479,78.82,8.41,27.2,54.7,3.4,5.2,74.9
E02000927,455000,Wandsworth,Inner,South,Conservative,15548,78.31,11.68,24.59,65.3,4.8,5.2,76.3
E02000928,650000,Wandsworth,Inner,South,Conservative,8889,71.94,5.97,11.07,39.8,1.6,5.6,82.5
E02000929,250000,Wandsworth,Inner,South,Conservative,17963,70.31,20.77,54.03,74.4,9.4,9.6,74.1
E02000930,480000,Wandsworth,Inner,South,Conservative,12388,83.05,6.73,20.76,56.40000000000001,2.6,6.7,76
E02000931,580000,Wandsworth,Inner,South,Conservative,11139,77.64,3.88,12.89,41.6,1,4.7,84.2
E02000932,440000,Wandsworth,Inner,South,Conservative,8131,80.63,3.58,15.8,49.1,1.1,4.6,80.3
E02000933,435000,Wandsworth,Inner,South,Conservative,7999,71.93,5.76,16.63,43.3,1.8,4.6,80.6
E02000934,470000,Wandsworth,Inner,South,Conservative,11949,83.49,7.98,23.25,55.5,2.2,4.8,76.3
E02000935,249950,Wandsworth,Inner,South,Conservative,4906,70.83,20.91,35.88,75.4,11.6,7.9,75
E02000936,400000,Wandsworth,Inner,South,Conservative,9431,76.8,5.45,20.64,53.4,2.4,7.3,80.7
E02000937,594700,Wandsworth,Inner,South,Conservative,6397,71.66,6.07,12.87,40.7,1.6,6.2,78.8
E02000938,431000,Wandsworth,Inner,South,Conservative,5562,69,14.46,28.71,53.8,6.4,8.6,77.4
E02000939,999950,Wandsworth,Inner,South,Conservative,11033,66.48,6.38,13.69,32.59999999999999,2.9,5.2,79.2
E02000940,309000,Wandsworth,Inner,South,Conservative,11241,75.35,12.45,37.36,58.4,6,6.9,80.2
E02000941,435500,Wandsworth,Inner,South,Conservative,9492,73.2,6.33,17.41,42.4,2.3,5.9,76.9
E02000942,500000,Wandsworth,Inner,South,Conservative,9130,70.14,6.11,20.69,36.9,1.6,5.8,80.3
E02000943,500000,Wandsworth,Inner,South,Conservative,11864,77.35,5.72,20.55,48.7,1.8,6,79.5
E02000944,250000,Wandsworth,Inner,South,Conservative,12008,71.49,16.81,38.52,64.1,7.3,6.5,73.7
E02000945,222500,Wandsworth,Inner,South,Conservative,3547,73.27,15.52,34.65,66.69999999999999,6.6,9.2,76.7
E02000946,370000,Wandsworth,Inner,South,Conservative,7852,78.23,9.11,27.53,49.2,3.3,4.8,79.6
E02000947,474000,Wandsworth,Inner,South,Conservative,9994,73.48,5.81,18.21,39.4,1.9,5,80
E02000948,390750,Wandsworth,Inner,South,Conservative,7326,79.72,6.01,25.45,51.2,2.4,5.9,78.4
E02000949,520000,Wandsworth,Inner,South,Conservative,6822,73.44,4.86,17.59,39.9,1.3,5.3,74.4
E02000950,295000,Wandsworth,Inner,South,Conservative,8579,71.95,9.59,26.64,48,4.2,6.7,80.9
E02000951,390000,Wandsworth,Inner,South,Conservative,13116,77.31,7.47,28.56,53.2,2.5,7.4,77.5
E02000952,405000,Wandsworth,Inner,South,Conservative,10652,75.18,8.4,27.54,55.4,3.2,8,79.4
E02000953,430000,Wandsworth,Inner,South,Conservative,10562,78.3,6.33,28.3,51,2.2,6.6,79.6
E02000954,416250,Wandsworth,Inner,South,Conservative,13977,72.15,10.87,47.57,43.8,4.5,7.6,85.4
E02000955,347500,Wandsworth,Inner,South,Conservative,11765,69.86,16.03,53.5,55.3,7,8.5,78.2
E02000956,277500,Wandsworth,Inner,South,Conservative,8909,75.65,12.88,50.98,65.6,6.8,10.2,74.2
E02000957,295000,Wandsworth,Inner,South,Conservative,14576,74.7,10.52,47.59,53.8,5,9.8,77.8
E02000958,350000,Wandsworth,Inner,South,Conservative,9501,68.75,12.38,40.06,36.9,4.3,6.3,82.7
E02000959,249000,Wandsworth,Inner,South,Conservative,14570,71.13,14.43,46.62,51,6.8,7.7,75.8
E02000960,750000,Westminster,Inner,Central,Conservative,7295,67.12,6.91,38.72,51.5,3.5,7.7,88.5
E02000961,485000,Westminster,Inner,Central,Conservative,11851,67.88,11.25,37.49,59.2,7.1,6.9,84.2
E02000962,500000,Westminster,Inner,Central,Conservative,12518,67.5,7.41,44.78,63.59999999999999,4.1,8.6,85.4
E02000963,442384,Westminster,Inner,Central,Conservative,21836,68.54,21.61,52.94,73.9,11.2,7.6,74.7
E02000964,317500,Westminster,Inner,Central,Conservative,25164,73.04,15.91,50.06,76.3,8.9,5.6,73.8
E02000965,520000,Westminster,Inner,Central,Conservative,17619,76.98,10.2,34.03,62,5.2,5,80.2
E02000966,735000,Westminster,Inner,Central,Conservative,17089,74.27,6.24,29.86,54.2,2.8,6.1,82.1
E02000967,755000,Westminster,Inner,Central,Conservative,5425,78.4,4.63,39.35,55.1,2.5,9.4,90.9
E02000968,370000,Westminster,Inner,Central,Conservative,24021,66.52,19.38,61.55,79.9,13,6.5,78.1
E02000969,360000,Westminster,Inner,Central,Conservative,17466,66.78,20.09,57.31,77.9,13.8,8,76.5
E02000970,963000,Westminster,Inner,Central,Conservative,8581,77.7,3.53,26.83,63.7,1.4,7.2,86.3
E02000971,635000,Westminster,Inner,Central,Conservative,15396,77.94,5.49,36.38,66.2,2.6,6.1,88.5
E02000972,710000,Westminster,Inner,Central,Conservative,6672,83.18,4.69,32.53,73.6,2,4.4,87.4
E02000973,606500,Westminster,Inner,Central,Conservative,18582,76.33,6.51,30.41,62.5,3.1,6,84.6
E02000974,580000,Westminster,Inner,Central,Conservative,12956,74.69,7.56,47.79,61.6,5.2,7,86
E02000975,736250,Westminster,Inner,Central,Conservative,18437,81.69,4.31,33.79,65.3,2.2,5.5,87.6
E02000976,610000,Westminster,Inner,Central,Conservative,21278,78.91,5.77,36.99,65.8,3.5,5.7,80.6
E02000977,887000,Westminster,Inner,Central,Conservative,3241,82.55,4.08,30.68,68.7,1.4,7.1,88.6
E02000978,2930000,Westminster,Inner,Central,Conservative,2636,75.58,4.74,30.44,43.3,2.7,8.8,97.7
E02000979,877500,Westminster,Inner,Central,Conservative,6020,76.29,6.65,26.37,62.5,3.1,6.7,83.3
E02000980,556000,Westminster,Inner,Central,Conservative,20152,72.12,10.23,32.06,66.5,4.7,7.4,79.7
E02000981,592500,Westminster,Inner,Central,Conservative,25054,79.58,5.28,20.87,61.09999999999999,2,7.6,83.2
E02000982,680000,Westminster,Inner,Central,Conservative,13125,69.53,11.37,35.72,71.6,6.6,5.1,82.2
E02000983,535000,Westminster,Inner,Central,Conservative,22924,70.07,9.5,29.75,74.1,5.1,7.4,84.3
