"study","subj","gender","age","interest","race","race2","eduave","income","ses","age2"
"Study3",5,"girl","age7",-1.833835776,5,"white",17,95000,0.162138884,"age6and7"
"Study3",6,"girl","age6",0.425104259,3,"non-white",16,90000,-0.154390755,"age6and7"
"Study3",7,"boy","age7",-0.52610223,5,"white",18,95000,0.42377807,"age6and7"
"Study3",8,"girl","age7",-0.074220569,5,"white",16,50000,-0.593514387,"age6and7"
"Study3",11,"boy","age7",0.200100554,6,"non-white",14,25000,-1.391245027,"age6and7"
"Study3",12,"boy","age7",-0.07468884,2,"non-white",20,175000,1.825303704,"age6and7"
"Study3",14,"girl","age7",-0.880286764,4,"non-white",20,NA,1.774785806,"age6and7"
"Study3",15,"girl","age7",0.474889949,5,"white",17,90000,0.10724843,"age6and7"
"Study3",16,"boy","age7",0.878860172,5,"white",20,125000,1.276399164,"age6and7"
"Study3",18,"girl","age7",-1.479651242,5,"white",13,25000,-1.652884212,"age6and7"
"Study3",22,"girl","age6",0.249886244,5,"white",15,85000,-0.470920394,"age6and7"
"Study3",23,"boy","age7",0.651982216,5,"white",16,125000,0.229842423,"age6and7"
"Study3",24,"boy","age6",0.878860172,5,"white",19,85000,0.575636347,"age6and7"
"Study3",25,"boy","age6",0.878860172,3,"non-white",14,5000,-1.610806843,"age6and7"
"Study3",26,"girl","age6",0.878860172,5,"white",18,175000,1.302025334,"age6and7"
"Study3",27,"girl","age7",-0.299224274,2,"non-white",16,175000,0.778746964,"age6and7"
"Study3",29,"girl","age7",0.878860172,5,"white",14,125000,-0.293435947,"age6and7"
"Study3",30,"boy","age7",0.878860172,6,"non-white",18,125000,0.753120794,"age6and7"
"Study3",31,"girl","age6",-0.977983891,6,"non-white",20,175000,1.825303704,"age6and7"
"Study3",32,"boy","age6",-0.203869669,NA,NA,19,125000,1.014759979,"age6and7"
"Study3",33,"girl","age6",0.604070777,5,"white",16,35000,-0.758185749,"age6and7"
"Study3",35,"boy","age6",0.01526269,6,"non-white",19,15000,-0.19283001,"age6and7"
"Study3",36,"girl","age7",0.474889949,5,"white",19,175000,1.563664519,"age6and7"
"Study3",37,"boy","age7",-1.155076158,2,"non-white",16,NA,-0.318327675,"age6and7"
"Study3",38,"girl","age6",0.104745949,5,"white",17,125000,0.491481609,"age6and7"
"Study3",42,"boy","age6",0.878860172,5,"white",18,35000,-0.234907379,"age6and7"
"Study3",43,"boy","age6",-1.186559859,5,"white",18,35000,-0.234907379,"age6and7"
"Study3",45,"girl","age6",-1.204861848,5,"white",14,95000,-0.622778671,"age6and7"
"Study3",46,"boy","age7",0.474889949,5,"white",20,75000,0.727494624,"age6and7"
"Study3",47,"boy","age7",0.701767905,5,"white",16,125000,0.229842423,"age6and7"
"Study3",48,"boy","age6",0.297797682,5,"white",14,125000,-0.293435947,"age6and7"
"Study3",49,"boy","age6",0.426978511,5,"white",14,25000,-1.391245027,"age6and7"
"Study3",50,"boy","age7",-0.446587148,5,"white",17,175000,1.040386149,"age6and7"
"Study3",51,"boy","age7",0.878860172,4,"non-white",16,50000,-0.593514387,"age6and7"
"Study3",52,"girl","age6",0.023008288,5,"white",18,175000,1.302025334,"age6and7"
"Study3",53,"boy","age6",-0.52610223,5,"white",18,175000,1.302025334,"age6and7"
"Study3",54,"boy","age6",0.878860172,4,"non-white",12,15000,-2.024304305,"age6and7"
"Study3",57,"girl","age7",-0.122132007,5,"white",17,125000,0.491481609,"age6and7"
"Study3",60,"girl","age6",0.651982216,3,"non-white",18,50000,-0.070236017,"age6and7"
"Study3",61,"girl","age6",-0.328833724,5,"white",14,70000,-0.897230941,"age6and7"
"Study4",65,"girl","age6",0.379535344,5,"white",16,90000,-0.154390755,"age6and7"
"Study4",66,"girl","age6",-0.780715385,5,"white",16,125000,0.229842423,"age6and7"
"Study4",67,"girl","age6",-0.476316541,5,"white",18,25000,-0.344688287,"age6and7"
"Study4",68,"girl","age6",-0.072346318,5,"white",17,125000,0.491481609,"age6and7"
"Study4",69,"boy","age6",-0.703194497,6,"non-white",19,125000,1.014759979,"age6and7"
"Study4",70,"girl","age6",0.524675638,5,"white",12,65000,-1.475399765,"age6and7"
"Study4",71,"girl","age6",0.152657387,5,"white",15,70000,-0.635591756,"age6and7"
"Study4",72,"boy","age6",0.023008288,5,"white",18,85000,0.313997162,"age6and7"
"Study4",73,"girl","age6",-0.621925106,5,"white",16,NA,-0.318327675,"age6and7"
"Study4",74,"girl","age6",0.104745949,5,"white",15,35000,-1.019824934,"age6and7"
"Study4",75,"boy","age6",-0.072346318,5,"white",16,70000,-0.373952571,"age6and7"
"Study4",76,"girl","age6",-0.880286764,5,"white",18,85000,0.313997162,"age6and7"
"Study4",77,"boy","age6",-0.574013668,6,"non-white",14,45000,-1.171683211,"age6and7"
"Study4",78,"boy","age6",0.878860172,6,"non-white",13,55000,-1.323541488,"age6and7"
"Study4",79,"boy","age6",-0.170043445,6,"non-white",16,95000,-0.099500301,"age6and7"
"Study4",80,"boy","age6",0.651982216,5,"white",15,90000,-0.41602994,"age6and7"
"Study4",81,"girl","age5",-0.151741457,5,"white",16,90000,-0.154390755,"age5"
"Study4",82,"girl","age5",-1.304433227,5,"white",17,50000,-0.331875202,"age5"
"Study4",83,"girl","age5",-0.249438584,5,"white",17,125000,0.491481609,"age5"
"Study4",84,"girl","age5",0.878860172,5,"white",16,175000,0.778746964,"age5"
"Study4",85,"boy","age6",0.377192821,5,"white",18,75000,0.204216254,"age6and7"
"Study4",86,"girl","age5",-0.122132007,2,"non-white",14,110000,-0.458107309,"age5"
"Study4",87,"girl","age6",-0.653408807,5,"white",15,70000,-0.635591756,"age6and7"
"Study4",88,"girl","age5",0.878860172,5,"white",18,30000,-0.289797833,"age5"
"Study4",89,"boy","age6",0.878860172,5,"white",14,150000,-0.018983677,"age6and7"
"Study4",90,"boy","age5",0.878860172,5,"white",19,110000,0.850088617,"age5"
"Study4",91,"boy","age6",0.524675638,6,"non-white",17,25000,-0.606327472,"age6and7"
"Study4",92,"boy","age5",-1.511134943,5,"white",18,85000,0.313997162,"age5"
"Study4",93,"girl","age5",0.072793977,5,"white",16,125000,0.229842423,"age5"
"Study4",94,"girl","age5",0.604070777,5,"white",16,125000,0.229842423,"age5"
"Study4",95,"boy","age5",-1.186559859,5,"white",18,55000,-0.015345563,"age5"
"Study4",96,"girl","age5",-0.249438584,5,"white",14,85000,-0.732559579,"age5"
"Study4",97,"girl","age5",-1.656743509,5,"white",14,95000,-0.622778671,"age5"
"Study4",98,"girl","age5",0.878860172,5,"white",18,70000,0.1493258,"age5"
"Study4",99,"girl","age6",0.297797682,5,"white",16,45000,-0.648404841,"age6and7"
"Study4",100,"boy","age5",0.152657387,6,"non-white",19,125000,1.014759979,"age5"
"Study4",101,"girl","age5",0.604070777,5,"white",16,70000,-0.373952571,"age5"
"Study4",102,"boy","age5",0.379535344,5,"white",18,125000,0.753120794,"age5"
"Study4",103,"girl","age5",0.377192821,5,"white",17,125000,0.491481609,"age5"
"Study4",104,"boy","age5",0.379535344,5,"white",18,90000,0.368887616,"age5"
"Study4",105,"boy","age5",-0.024434879,5,"white",15,35000,-1.019824934,"age5"
"Study4",106,"boy","age5",0.701767905,5,"white",15,50000,-0.855153572,"age5"
"Study4",107,"boy","age5",0.878860172,5,"white",17,55000,-0.276984748,"age5"
"Study4",108,"boy","age5",-0.97610964,5,"white",17,85000,0.052357976,"age5"
"Study4",109,"boy","age5",0.152657387,5,"white",18,70000,0.1493258,"age5"
"Study4",110,"boy","age5",-0.428405102,5,"white",14,45000,-1.171683211,"age5"
"Study4",111,"girl","age5",0.023008288,5,"white",18,125000,0.753120794,"age5"
"Study4",112,"girl","age6",0.202443077,5,"white",17,75000,-0.057422932,"age6and7"
"Study4",113,"girl","age6",-1.429865552,5,"white",18,125000,0.753120794,"age6and7"
"Study4",114,"boy","age5",0.379535344,5,"white",15,75000,-0.580701302,"age5"
"Study4",115,"girl","age6",-0.428405102,5,"white",18,75000,0.204216254,"age6and7"
"Study4",116,"girl","age6",0.878860172,5,"white",18,55000,-0.015345563,"age6and7"
"Study4",117,"boy","age6",0.878860172,5,"white",17,65000,-0.16720384,"age6and7"
"Study4",118,"boy","age6",0.878860172,5,"white",15,50000,-0.855153572,"age6and7"
"Study4",119,"girl","age5",-1.736138648,3,"non-white",13,25000,-1.652884212,"age5"
"Study4",120,"girl","age5",0.379535344,5,"white",17,130000,0.546372063,"age5"
"Study4",121,"girl","age5",-0.799017373,5,"white",17,50000,-0.331875202,"age5"
"Study4",122,"boy","age5",0.379535344,5,"white",19,175000,1.563664519,"age5"
"Study4",123,"boy","age5",0.379535344,5,"white",18,175000,1.302025334,"age5"
"Study4",124,"boy","age6",0.200100554,5,"white",14,125000,-0.293435947,"age6and7"
"Study4",125,"boy","age6",0.426978511,5,"white",15,55000,-0.800263118,"age6and7"
"Study4",126,"boy","age6",-0.151741457,5,"white",19,65000,0.356074531,"age6and7"
"Study4",127,"boy","age6",0.878860172,5,"white",16,110000,0.065171061,"age6and7"
"Study4",128,"girl","age6",-0.299224274,4,"non-white",20,NA,1.774785806,"age6and7"
"Study4",129,"girl","age5",0.878860172,5,"white",12,35000,-1.804742489,"age5"
"Study4",130,"boy","age5",-0.299224274,5,"white",16,50000,-0.593514387,"age5"
"Study4",131,"girl","age5",0.651982216,3,"non-white",17,70000,-0.112313386,"age5"
"Study4",132,"girl","age5",-1.427963726,5,"white",19,110000,0.850088617,"age5"
"Study4",133,"girl","age5",0.878860172,5,"white",14,65000,-0.952121395,"age5"
"Study4",134,"boy","age6",0.878860172,5,"white",17,175000,1.040386149,"age6and7"
"Study4",135,"girl","age6",-1.883621465,5,"white",16,50000,-0.593514387,"age6and7"
"Study4",136,"boy","age5",-0.428873374,5,"white",18,125000,0.753120794,"age5"
"Study4",137,"boy","age5",-2.237805999,5,"white",18,NA,0.728229065,"age5"
"Study4",138,"boy","age5",0.447368443,2,"non-white",20,175000,1.825303704,"age5"
"Study4",139,"girl","age5",0.379535344,5,"white",17,150000,0.765933879,"age5"
"Study4",140,"girl","age5",0.878860172,5,"white",18,65000,0.094435346,"age5"
"Study4",141,"girl","age6",-0.751105935,5,"white",16,35000,-0.758185749,"age6and7"
"Study4",142,"boy","age6",-0.703194497,5,"white",17,75000,-0.057422932,"age6and7"
"Study4",143,"boy","age6",-0.52610223,5,"white",18,95000,0.42377807,"age6and7"
"Study4",144,"boy","age6",-0.249438584,5,"white",16,45000,-0.648404841,"age6and7"
