"X","D","S","y","status"
1,9,0.024212,0,"survived"
2,11,0.0305947,0,"survived"
3,9,0.0305947,0,"survived"
4,9,0.0341815,0,"survived"
5,5,0.0341815,0,"survived"
6,8,0.0341815,0,"survived"
7,8,0.0341815,0,"survived"
8,6,0.0341815,0,"survived"
9,8,0.0341815,0,"survived"
10,5,0.0341815,0,"survived"
11,22,0.0345653,0,"survived"
12,6,0.0461334,0,"survived"
13,8,0.0514511,0,"survived"
14,8,0.054777,0,"survived"
15,9,0.054777,0,"survived"
16,10,0.054777,0,"survived"
17,7,0.0552361,0,"survived"
18,14,0.0575282,0,"survived"
19,15,0.0575282,0,"survived"
20,17,0.0575282,0,"survived"
21,12,0.0575282,0,"survived"
22,8,0.0687957,0,"survived"
23,14,0.0693424,0,"survived"
24,12,0.0693424,0,"survived"
25,18,0.071072,0,"survived"
26,13,0.071072,0,"survived"
27,8,0.0726807,0,"survived"
28,7,0.0726807,0,"survived"
29,6,0.0730598,0,"survived"
30,5,0.0730598,0,"survived"
31,9,0.0730598,0,"survived"
32,14,0.0773118,0,"survived"
33,11,0.0805133,0,"survived"
34,7,0.0818451,0,"survived"
35,6,0.0818451,0,"survived"
36,5,0.0846147,0,"survived"
37,6,0.0846147,0,"survived"
38,5,0.0846147,0,"survived"
39,5,0.0846147,0,"survived"
40,10,0.084997,0,"survived"
41,5,0.0879988,0,"survived"
42,6,0.0879988,0,"survived"
43,6,0.0879988,0,"survived"
44,5,0.0879988,0,"survived"
45,5,0.0879988,0,"survived"
46,8,0.0879988,0,"survived"
47,16,0.089435,0,"survived"
48,10,0.089435,0,"survived"
49,12,0.089435,1,"died"
50,5,0.0894688,0,"survived"
51,9,0.0914889,0,"survived"
52,12,0.0914889,0,"survived"
53,5,0.0914889,0,"survived"
54,10,0.0914889,0,"survived"
55,7,0.0914889,0,"survived"
56,5,0.0943459,0,"survived"
57,7,0.0943459,0,"survived"
58,5,0.0943459,0,"survived"
59,14,0.0958845,0,"survived"
60,5,0.0965822,0,"survived"
61,17,0.0994145,0,"survived"
62,5,0.0995897,0,"survived"
63,11,0.0995897,0,"survived"
64,6,0.0998312,0,"survived"
65,7,0.0998312,0,"survived"
66,7,0.0998312,0,"survived"
67,13,0.10254,1,"died"
68,25,0.103689,0,"survived"
69,7,0.105993,0,"survived"
70,8,0.105993,0,"survived"
71,14,0.107644,0,"survived"
72,19,0.107769,0,"survived"
73,17,0.107769,0,"survived"
74,14,0.114878,0,"survived"
75,13,0.114878,1,"died"
76,6,0.114878,0,"survived"
77,6,0.115634,0,"survived"
78,6,0.115634,0,"survived"
79,8,0.118361,0,"survived"
80,22,0.120054,1,"died"
81,6,0.120534,0,"survived"
82,9,0.120534,0,"survived"
83,11,0.120629,0,"survived"
84,6,0.128477,0,"survived"
85,7,0.12938,0,"survived"
86,5,0.12938,0,"survived"
87,7,0.12938,0,"survived"
88,7,0.13163,0,"survived"
89,11,0.131718,0,"survived"
90,11,0.132051,0,"survived"
91,13,0.132093,0,"survived"
92,10,0.132585,0,"survived"
93,10,0.132585,0,"survived"
94,7,0.135751,1,"died"
95,9,0.135751,1,"died"
96,5,0.138033,0,"survived"
97,5,0.138033,0,"survived"
98,5,0.138033,0,"survived"
99,6,0.144217,0,"survived"
100,6,0.145446,0,"survived"
101,9,0.145446,0,"survived"
102,12,0.146615,1,"died"
103,8,0.146615,1,"died"
104,14,0.148025,0,"survived"
105,11,0.148025,0,"survived"
106,13,0.148025,0,"survived"
107,9,0.148025,0,"survived"
108,6,0.149973,0,"survived"
109,5,0.149973,0,"survived"
110,9,0.152714,0,"survived"
111,6,0.152714,0,"survived"
112,5,0.163796,0,"survived"
113,14,0.163796,0,"survived"
114,5,0.163796,0,"survived"
115,10,0.164513,0,"survived"
116,10,0.164513,0,"survived"
117,16,0.173383,0,"survived"
118,7,0.173383,0,"survived"
119,10,0.173383,0,"survived"
120,8,0.174111,1,"died"
121,8,0.174111,1,"died"
122,7,0.174111,1,"died"
123,10,0.174111,1,"died"
124,6,0.174111,0,"survived"
125,9,0.174869,0,"survived"
126,7,0.176954,0,"survived"
127,5,0.18105,1,"died"
128,5,0.18105,0,"survived"
129,7,0.18105,1,"died"
130,5,0.18105,0,"survived"
131,6,0.182465,0,"survived"
132,5,0.182465,0,"survived"
133,5,0.182465,0,"survived"
134,5,0.182465,0,"survived"
135,7,0.182465,0,"survived"
136,6,0.183632,0,"survived"
137,6,0.183632,0,"survived"
138,6,0.183632,0,"survived"
139,7,0.184542,0,"survived"
140,6,0.184542,0,"survived"
141,5,0.191521,0,"survived"
142,12,0.192293,0,"survived"
143,7,0.192509,0,"survived"
144,14,0.197618,0,"survived"
145,8,0.197618,0,"survived"
146,10,0.197618,0,"survived"
147,16,0.197618,0,"survived"
148,11,0.197618,0,"survived"
149,14,0.198293,1,"died"
150,14,0.198293,0,"survived"
151,10,0.198293,1,"died"
152,10,0.199172,0,"survived"
153,21,0.20332,1,"died"
154,8,0.204132,0,"survived"
155,10,0.206243,0,"survived"
156,6,0.207769,0,"survived"
157,6,0.207769,0,"survived"
158,9,0.208116,0,"survived"
159,9,0.208116,0,"survived"
160,7,0.210034,1,"died"
161,7,0.210034,1,"died"
162,9,0.214047,0,"survived"
163,8,0.214047,0,"survived"
164,7,0.214047,0,"survived"
165,7,0.214931,0,"survived"
166,7,0.214931,0,"survived"
167,5,0.215521,0,"survived"
168,7,0.215521,0,"survived"
169,5,0.215521,1,"died"
170,5,0.215521,0,"survived"
171,6,0.215521,0,"survived"
172,5,0.215521,0,"survived"
173,11,0.215521,0,"survived"
174,5,0.215521,0,"survived"
175,7,0.215975,0,"survived"
176,8,0.215975,0,"survived"
177,10,0.215975,0,"survived"
178,5,0.216023,0,"survived"
179,7,0.219577,1,"died"
180,5,0.219577,1,"died"
181,6,0.219577,1,"died"
182,8,0.219577,0,"survived"
183,5,0.219577,0,"survived"
184,7,0.219577,0,"survived"
185,11,0.219577,1,"died"
186,11,0.219577,1,"died"
187,10,0.219577,1,"died"
188,11,0.219577,1,"died"
189,8,0.219577,0,"survived"
190,15,0.220787,1,"died"
191,8,0.224639,0,"survived"
192,6,0.224639,1,"died"
193,6,0.224701,0,"survived"
194,6,0.224701,0,"survived"
195,7,0.224701,0,"survived"
196,6,0.22813,0,"survived"
197,5,0.22813,0,"survived"
198,9,0.230694,0,"survived"
199,12,0.230694,1,"died"
200,7,0.234421,0,"survived"
201,6,0.235722,0,"survived"
202,16,0.235722,0,"survived"
203,6,0.235989,0,"survived"
204,6,0.235989,0,"survived"
205,16,0.237342,1,"died"
206,8,0.237342,0,"survived"
207,7,0.249347,0,"survived"
208,29,0.251911,0,"survived"
209,6,0.253849,0,"survived"
210,6,0.253849,0,"survived"
211,9,0.253849,0,"survived"
212,8,0.256767,0,"survived"
213,7,0.259414,0,"survived"
214,7,0.259414,0,"survived"
215,5,0.259414,0,"survived"
216,7,0.259414,0,"survived"
217,6,0.259414,0,"survived"
218,8,0.259414,0,"survived"
219,9,0.259414,0,"survived"
220,10,0.259414,0,"survived"
221,9,0.265896,1,"died"
222,7,0.268259,1,"died"
223,6,0.269299,1,"died"
224,8,0.269299,0,"survived"
225,8,0.269299,0,"survived"
226,6,0.269299,0,"survived"
227,7,0.269299,0,"survived"
228,8,0.269299,0,"survived"
229,20,0.273593,0,"survived"
230,7,0.274106,0,"survived"
231,8,0.274106,0,"survived"
232,6,0.274106,0,"survived"
233,7,0.274106,0,"survived"
234,6,0.274106,0,"survived"
235,14,0.274106,1,"died"
236,10,0.274106,0,"survived"
237,10,0.274106,0,"survived"
238,12,0.275455,0,"survived"
239,6,0.279653,0,"survived"
240,9,0.281498,0,"survived"
241,5,0.281498,0,"survived"
242,5,0.281498,0,"survived"
243,11,0.281793,1,"died"
244,6,0.283471,0,"survived"
245,5,0.283471,0,"survived"
246,7,0.283471,0,"survived"
247,6,0.283471,0,"survived"
248,6,0.283471,0,"survived"
249,5,0.283471,0,"survived"
250,8,0.283471,0,"survived"
251,7,0.283471,0,"survived"
252,8,0.283471,0,"survived"
253,6,0.283471,0,"survived"
254,14,0.284814,1,"died"
255,8,0.290151,0,"survived"
256,6,0.290151,0,"survived"
257,8,0.290557,0,"survived"
258,12,0.293629,0,"survived"
259,10,0.294195,1,"died"
260,12,0.300321,0,"survived"
261,7,0.300321,0,"survived"
262,7,0.300321,0,"survived"
263,10,0.300321,0,"survived"
264,8,0.303317,0,"survived"
265,7,0.303317,1,"died"
266,5,0.303317,0,"survived"
267,6,0.30554,0,"survived"
268,7,0.305741,1,"died"
269,13,0.305741,1,"died"
270,8,0.306005,0,"survived"
271,21,0.307181,1,"died"
272,8,0.307181,1,"died"
273,8,0.308675,0,"survived"
274,8,0.308675,0,"survived"
275,16,0.309179,0,"survived"
276,9,0.310713,0,"survived"
277,14,0.310713,1,"died"
278,6,0.313393,0,"survived"
279,9,0.313963,0,"survived"
280,7.5,0.320563,1,"died"
281,9.5,0.320563,1,"died"
282,13,0.321258,0,"survived"
283,13,0.321258,1,"died"
284,13,0.321258,0,"survived"
285,10,0.321258,0,"survived"
286,10,0.323477,1,"died"
287,9,0.323477,1,"died"
288,14,0.327542,0,"survived"
289,15,0.327542,1,"died"
290,7,0.329682,1,"died"
291,16,0.330644,1,"died"
292,15,0.330644,1,"died"
293,15,0.332474,1,"died"
294,9,0.333407,1,"died"
295,7,0.333407,0,"survived"
296,8,0.333407,1,"died"
297,5,0.333407,0,"survived"
298,23,0.334151,1,"died"
299,5,0.335679,0,"survived"
300,8,0.336481,0,"survived"
301,9,0.336481,1,"died"
302,11,0.336481,0,"survived"
303,13,0.336481,1,"died"
304,7,0.338376,0,"survived"
305,7,0.338376,0,"survived"
306,6,0.338376,0,"survived"
307,5,0.338376,0,"survived"
308,6,0.338376,0,"survived"
309,6,0.338376,0,"survived"
310,7,0.338376,0,"survived"
311,5,0.338376,0,"survived"
312,5,0.338376,0,"survived"
313,9,0.338376,0,"survived"
314,5,0.338376,1,"died"
315,10,0.338376,1,"died"
316,6,0.338376,0,"survived"
317,6,0.341799,0,"survived"
318,7,0.341799,0,"survived"
319,13,0.342915,1,"died"
320,5,0.344517,0,"survived"
321,6,0.344517,0,"survived"
322,6,0.35246,0,"survived"
323,6,0.35246,0,"survived"
324,5,0.35246,0,"survived"
325,6,0.354582,0,"survived"
326,5,0.354582,0,"survived"
327,18,0.356787,1,"died"
328,10,0.356787,0,"survived"
329,8,0.356787,0,"survived"
330,7,0.356787,0,"survived"
331,5,0.35738,0,"survived"
332,5,0.35738,0,"survived"
333,8,0.358713,0,"survived"
334,15,0.359444,1,"died"
335,12,0.36057,0,"survived"
336,13,0.36057,0,"survived"
337,8,0.36291,0,"survived"
338,8,0.363574,0,"survived"
339,7,0.363574,0,"survived"
340,10,0.364261,1,"died"
341,5,0.364261,0,"survived"
342,7,0.364261,1,"died"
343,10,0.366172,0,"survived"
344,7,0.366172,0,"survived"
345,7,0.366172,0,"survived"
346,6,0.366172,0,"survived"
347,5,0.366172,0,"survived"
348,6,0.366172,0,"survived"
349,7,0.366172,0,"survived"
350,13,0.367316,1,"died"
351,17,0.36735,1,"died"
352,12,0.367463,1,"died"
353,13,0.375813,1,"died"
354,11,0.376297,1,"died"
355,9,0.378216,0,"survived"
356,7,0.379872,0,"survived"
357,7,0.379872,0,"survived"
358,5,0.379872,0,"survived"
359,7,0.379872,0,"survived"
360,7,0.379872,0,"survived"
361,5,0.379872,0,"survived"
362,5,0.379872,0,"survived"
363,5,0.379872,0,"survived"
364,7,0.379872,0,"survived"
365,7,0.379872,0,"survived"
366,5,0.379872,0,"survived"
367,6,0.380303,0,"survived"
368,11,0.381465,1,"died"
369,8,0.381702,0,"survived"
370,7,0.381702,0,"survived"
371,10,0.38226,0,"survived"
372,9,0.38226,0,"survived"
373,6,0.382829,0,"survived"
374,7,0.382829,0,"survived"
375,29,0.38498,1,"died"
376,8,0.386872,0,"survived"
377,5,0.386872,0,"survived"
378,7,0.386872,0,"survived"
379,8,0.386872,0,"survived"
380,9,0.386872,0,"survived"
381,13,0.391278,1,"died"
382,15,0.391278,1,"died"
383,13,0.391801,1,"died"
384,15,0.391801,1,"died"
385,10,0.391801,1,"died"
386,12,0.391801,1,"died"
387,17,0.391801,1,"died"
388,8,0.394898,0,"survived"
389,6,0.394898,0,"survived"
390,6,0.394898,0,"survived"
391,5,0.394898,0,"survived"
392,13,0.398671,0,"survived"
393,12,0.400867,0,"survived"
394,11,0.400867,0,"survived"
395,14,0.400867,0,"survived"
396,7,0.400867,0,"survived"
397,5,0.402528,0,"survived"
398,7,0.402528,0,"survived"
399,7,0.402528,0,"survived"
400,6,0.402528,0,"survived"
401,7,0.403794,1,"died"
402,8,0.404768,0,"survived"
403,7,0.404833,0,"survived"
404,11,0.404933,0,"survived"
405,8,0.406581,1,"died"
406,12,0.406613,1,"died"
407,8,0.406613,0,"survived"
408,15,0.406781,1,"died"
409,6,0.406781,1,"died"
410,10,0.406781,1,"died"
411,8,0.406781,1,"died"
412,10,0.406781,1,"died"
413,8,0.416345,0,"survived"
414,7,0.420598,0,"survived"
415,7,0.420598,0,"survived"
416,8,0.425459,0,"survived"
417,10,0.425669,1,"died"
418,7,0.429114,0,"survived"
419,11.5,0.429305,1,"died"
420,13.5,0.429305,1,"died"
421,15,0.434976,1,"died"
422,10,0.435212,0,"survived"
423,7,0.435212,0,"survived"
424,8,0.435212,0,"survived"
425,14,0.441635,0,"survived"
426,8,0.44398,0,"survived"
427,11,0.448048,0,"survived"
428,16,0.448048,1,"died"
429,7,0.448048,0,"survived"
430,10,0.449627,0,"survived"
431,8,0.450835,1,"died"
432,5,0.450835,0,"survived"
433,7,0.450835,1,"died"
434,9,0.450835,0,"survived"
435,7,0.455902,1,"died"
436,17,0.459406,1,"died"
437,17,0.466155,1,"died"
438,5,0.466155,1,"died"
439,5,0.466155,0,"survived"
440,6,0.466155,0,"survived"
441,9,0.467301,1,"died"
442,13,0.467301,1,"died"
443,10,0.467301,1,"died"
444,5,0.469594,0,"survived"
445,20,0.469594,1,"died"
446,13,0.469871,1,"died"
447,9,0.469987,1,"died"
448,22,0.475169,1,"died"
449,8,0.476106,0,"survived"
450,9,0.476106,0,"survived"
451,7,0.476106,1,"died"
452,5,0.478474,0,"survived"
453,10,0.478474,0,"survived"
454,10,0.480554,1,"died"
455,10,0.481444,0,"survived"
456,6,0.481444,0,"survived"
457,8,0.481444,0,"survived"
458,8,0.481444,0,"survived"
459,11,0.488089,1,"died"
460,18,0.488623,1,"died"
461,19.5,0.491077,1,"died"
462,20,0.491077,1,"died"
463,13.5,0.491077,1,"died"
464,14,0.491077,1,"died"
465,16,0.491077,0,"survived"
466,9,0.500578,0,"survived"
467,8,0.500887,1,"died"
468,6,0.500887,0,"survived"
469,6,0.501032,0,"survived"
470,7,0.501032,0,"survived"
471,12,0.501032,1,"died"
472,13,0.502487,1,"died"
473,14,0.503722,1,"died"
474,17,0.508672,0,"survived"
475,12,0.508672,1,"died"
476,9,0.511376,0,"survived"
477,5,0.511376,0,"survived"
478,10,0.512248,1,"died"
479,10,0.51581,1,"died"
480,16,0.522453,1,"died"
481,7,0.522657,0,"survived"
482,12,0.525126,1,"died"
483,17,0.533063,1,"died"
484,7,0.534748,0,"survived"
485,5,0.534748,0,"survived"
486,5,0.534748,0,"survived"
487,5,0.534748,0,"survived"
488,6,0.536359,0,"survived"
489,6,0.536359,0,"survived"
490,7,0.536359,0,"survived"
491,6,0.536359,0,"survived"
492,9.5,0.545287,0,"survived"
493,20,0.548117,0,"survived"
494,13,0.551895,1,"died"
495,8,0.553382,0,"survived"
496,28,0.553944,1,"died"
497,5,0.55502,0,"survived"
498,5,0.55502,0,"survived"
499,17,0.558492,1,"died"
500,24,0.558492,1,"died"
501,7,0.560545,0,"survived"
502,9,0.560545,0,"survived"
503,8,0.560545,0,"survived"
504,8,0.560545,0,"survived"
505,9,0.560545,0,"survived"
506,10,0.560545,0,"survived"
507,6,0.560545,0,"survived"
508,5,0.560545,0,"survived"
509,6,0.560545,0,"survived"
510,5,0.560545,0,"survived"
511,7,0.560545,0,"survived"
512,5,0.560545,0,"survived"
513,8,0.560623,1,"died"
514,13,0.561226,1,"died"
515,28,0.565152,1,"died"
516,11.5,0.579711,1,"died"
517,11.5,0.579711,1,"died"
518,6,0.579787,0,"survived"
519,5,0.579787,0,"survived"
520,6,0.581735,1,"died"
521,12,0.582118,1,"died"
522,11,0.582118,1,"died"
523,15,0.587466,1,"died"
524,9,0.592865,0,"survived"
525,19,0.593677,1,"died"
526,11,0.599994,1,"died"
527,16,0.602545,1,"died"
528,14,0.602837,1,"died"
529,11,0.6045,1,"died"
530,22,0.60646,1,"died"
531,11,0.609595,1,"died"
532,15,0.612655,1,"died"
533,6,0.625261,1,"died"
534,6,0.625261,0,"survived"
535,6,0.625261,0,"survived"
536,8,0.625833,1,"died"
537,6,0.625901,0,"survived"
538,6,0.625901,0,"survived"
539,9,0.625901,0,"survived"
540,25,0.63175,1,"died"
541,11,0.633624,1,"died"
542,9,0.633624,1,"died"
543,14,0.633624,1,"died"
544,19,0.638334,1,"died"
545,20,0.638334,1,"died"
546,9,0.639188,0,"survived"
547,16,0.639582,1,"died"
548,7,0.641339,1,"died"
549,17,0.641339,1,"died"
550,20,0.647292,1,"died"
551,19,0.651572,1,"died"
552,6,0.653384,0,"survived"
553,8,0.653384,0,"survived"
554,9,0.653722,1,"died"
555,16,0.655967,1,"died"
556,7,0.655979,0,"survived"
557,6,0.655979,0,"survived"
558,5,0.655979,0,"survived"
559,15,0.657143,1,"died"
560,18,0.660175,1,"died"
561,8,0.662489,0,"survived"
562,15,0.662489,1,"died"
563,10,0.662489,0,"survived"
564,12,0.669579,1,"died"
565,11,0.670223,1,"died"
566,12,0.671354,1,"died"
567,16,0.676434,1,"died"
568,14,0.676434,1,"died"
569,9.5,0.677028,1,"died"
570,23,0.677028,0,"survived"
571,11,0.681727,0,"survived"
572,15,0.682017,1,"died"
573,12,0.683177,1,"died"
574,9,0.684129,0,"survived"
575,10,0.684129,0,"survived"
576,7,0.684129,0,"survived"
577,8.5,0.684129,1,"died"
578,10,0.684995,1,"died"
579,16,0.692772,1,"died"
580,6,0.697166,0,"survived"
581,18,0.698172,1,"died"
582,13,0.699792,1,"died"
583,10,0.699792,1,"died"
584,6,0.700325,0,"survived"
585,13,0.700325,1,"died"
586,6,0.701091,0,"survived"
587,5,0.705846,0,"survived"
588,5,0.705846,0,"survived"
589,5,0.705846,0,"survived"
590,10.5,0.707828,1,"died"
591,18,0.707828,1,"died"
592,8,0.712619,0,"survived"
593,16,0.716054,1,"died"
594,9,0.716054,1,"died"
595,5.5,0.717459,0,"survived"
596,12,0.718929,0,"survived"
597,10,0.718929,1,"died"
598,11,0.718929,1,"died"
599,18,0.726563,1,"died"
600,12,0.726563,1,"died"
601,10,0.730738,1,"died"
602,10,0.735708,1,"died"
603,11,0.73741,1,"died"
604,9,0.739292,1,"died"
605,7,0.751591,0,"survived"
606,6,0.751591,0,"survived"
607,7,0.751974,1,"died"
608,22.5,0.751974,1,"died"
609,19,0.751974,1,"died"
610,9,0.757207,1,"died"
611,16,0.759117,1,"died"
612,18,0.76546,1,"died"
613,10,0.766252,0,"survived"
614,8,0.766848,0,"survived"
615,10.5,0.766848,0,"survived"
616,13,0.766848,1,"died"
617,6.5,0.766848,1,"died"
618,14,0.778154,1,"died"
619,7,0.780663,0,"survived"
620,13,0.780663,1,"died"
621,13,0.780663,1,"died"
622,18,0.782438,1,"died"
623,5,0.790498,0,"survived"
624,10,0.790562,1,"died"
625,6,0.790562,0,"survived"
626,5,0.790562,0,"survived"
627,6,0.790562,0,"survived"
628,16,0.794325,1,"died"
629,32,0.795092,1,"died"
630,5,0.80799,1,"died"
631,9,0.80799,1,"died"
632,20,0.815376,1,"died"
633,11,0.830039,1,"died"
634,14,0.833468,1,"died"
635,27,0.833468,1,"died"
636,17,0.842422,1,"died"
637,12,0.842422,1,"died"
638,11,0.842878,1,"died"
639,11,0.842878,1,"died"
640,15,0.847198,1,"died"
641,15,0.847198,1,"died"
642,11,0.847198,1,"died"
643,14,0.849462,1,"died"
644,14,0.849462,1,"died"
645,20,0.849462,1,"died"
646,13,0.850571,1,"died"
647,11,0.850571,1,"died"
648,6,0.850571,0,"survived"
649,10,0.850571,1,"died"
650,18,0.85532,1,"died"
651,21,0.85532,1,"died"
652,5.5,0.859409,1,"died"
653,21,0.859409,1,"died"
654,16,0.862392,1,"died"
655,14,0.867016,1,"died"
656,5,0.939029,0,"survived"
657,9,0.944993,1,"died"
658,17,0.944993,1,"died"
659,8,0.983271,1,"died"
